iter,latency_us
0,0
1,0
2,4
3,5
4,5
5,0
6,1
7,0
8,5
9,5
10,1
11,0
12,0
13,7
14,6
15,6
16,6
17,0
18,6
19,6
20,6
21,5
22,0
23,5
24,6
25,7
26,6
27,1
28,5
29,7
30,0
31,5
32,6
33,1
34,7
35,0
36,6
37,4
38,1
39,0
40,0
41,6
42,7
43,1
44,0
45,0
46,4
47,6
48,0
49,0
50,0
51,6
52,5
53,0
54,0
55,0
56,6
57,4
58,0
59,2
60,4
61,6
62,6
63,7
64,6
65,4
66,4
67,5
68,6
69,5
70,6
71,6
72,0
73,6
74,6
75,6
76,4
77,1
78,0
79,6
80,7
81,5
82,4
83,0
84,6
85,5
86,6
87,6
88,0
89,6
90,6
91,5
92,5
93,1
94,4
95,4
96,4
97,4
98,0
99,1
100,6
101,5
102,5
103,1
104,0
105,4
106,5
107,5
108,1
109,0
110,5
111,4
112,5
113,0
114,3
115,4
116,6
117,11
118,0
119,5
120,6
121,6
122,7
123,0
124,4
125,6
126,0
127,0
128,1
129,9
130,5
131,1
132,0
133,0
134,6
135,6
136,0
137,6
138,1
139,7
140,7
141,0
142,7
143,0
144,6
145,10
146,0
147,5
148,1
149,2
150,5
151,7
152,7
153,0
154,1
155,0
156,7
157,6
158,0
159,0
160,1
161,6
162,6
163,5
164,4
165,1
166,5
167,5
168,6
169,7
170,1
171,4
172,4
173,7
174,6
175,0
176,7
177,7
178,0
179,8
180,5
181,7
182,6
183,0
184,5
185,6
186,6
187,0
188,1
189,8
190,5
191,0
192,0
193,1
194,6
195,8
196,0
197,0
198,1
199,7
200,6
201,0
202,0
203,1
204,7
205,6
206,0
207,0
208,6
209,6
210,6
211,2
212,6
213,6
214,6
215,6
216,5
217,8
218,7
219,5
220,1
221,4
222,5
223,9
224,7
225,0
226,0
227,7
228,5
229,5
230,4
231,0
232,8
233,6
234,7
235,5
236,0
237,6
238,6
239,4
240,3
241,0
242,7
243,6
244,6
245,8
246,0
247,0
248,5
249,4
250,5
251,0
252,0
253,6
254,6
255,6
256,0
257,1
258,5
259,5
260,6
261,0
262,8
263,4
264,10
265,6
266,0
267,5
268,5
269,3
270,5
271,0
272,7
273,6
274,8
275,0
276,0
277,4
278,5
279,7
280,0
281,1
282,8
283,5
284,5
285,3
286,0
287,5
288,3
289,6
290,6
291,0
292,6
293,6
294,5
295,5
296,0
297,4
298,5
299,5
300,4
301,0
302,9
303,0
304,8
305,8
306,0
307,5
308,0
309,6
310,6
311,5
312,5
313,0
314,5
315,7
316,6
317,4
318,0
319,8
320,6
321,7
322,5
323,1
324,6
325,6
326,0
327,7
328,3
329,4
330,9
331,0
332,8
333,5
334,8
335,0
336,0
337,5
338,4
339,1
340,0
341,0
342,6
343,6
344,0
345,0
346,0
347,4
348,5
349,1
350,0
351,0
352,5
353,4
354,1
355,0
356,2
357,3
358,5
359,0
360,4
361,4
362,4
363,4
364,4
365,3
366,3
367,4
368,0
369,5
370,5
371,4
372,3
373,0
374,1
375,3
376,5
377,4
378,7
379,0
380,5
381,6
382,5
383,4
384,1
385,6
386,5
387,7
388,6
389,0
390,15
391,6
392,6
393,5
394,0
395,7
396,7
397,6
398,7
399,0
400,7
401,7
402,3
403,5
404,0
405,5
406,4
407,5
408,4
409,0
410,4
411,5
412,3
413,3
414,0
415,4
416,3
417,4
418,4
419,0
420,3
421,3
422,3
423,0
424,1
425,5
426,4
427,5
428,0
429,1
430,3
431,4
432,4
433,0
434,0
435,4
436,6
437,5
438,5
439,1
440,5
441,5
442,4
443,4
444,1
445,5
446,6
447,5
448,4
449,1
450,4
451,0
452,5
453,4
454,0
455,5
456,0
457,5
458,5
459,1
460,4
461,0
462,6
463,5
464,5
465,7
466,0
467,6
468,7
469,5
470,4
471,0
472,6
473,6
474,4
475,5
476,4
477,6
478,5
479,0
480,4
481,4
482,5
483,5
484,0
485,6
486,5
487,1
488,7
489,1
490,4
491,3
492,0
493,5
494,0
495,4
496,6
497,0
498,5
499,0
500,3
501,12
502,1
503,6
504,0
505,4
506,4
507,1
508,4
509,4
510,4
511,4
512,7
513,8
514,4
515,5
516,0
517,6
518,4
519,5
520,3
521,1
522,5
523,6
524,6
525,4
526,5
527,0
528,5
529,5
530,5
531,5
